date,r_waac
2019-01-02,0.005284604365168798
2019-01-03,0.004781143592534037
2019-01-04,0.004891332795338995
2019-01-07,0.0050470411275781975
2019-01-08,0.005289572709748402
2019-01-09,0.004951978134986664
2019-01-10,0.005897389623295796
2019-01-11,0.005121383377765655
2019-01-14,0.004392076738301144
2019-01-15,0.0048794504857041145
2019-01-16,0.00463563399836254
2019-01-17,0.004875118880593967
2019-01-18,0.003658610080676815
2019-01-21,0.003887890539435586
2019-01-22,0.00787554663078702
2019-01-23,0.006284791861434818
2019-01-24,0.0066487565514809985
2019-01-25,0.005549811254940006
2019-01-28,0.007015712976290388
2019-01-29,0.006960778274153665
2019-01-30,0.006770814971415614
2019-01-31,0.005992417220457106
2019-02-01,0.00510536397223251
2019-02-11,0.0031944469783640687
2019-02-12,0.003315808332574143
2019-02-13,0.0028992799322383953
2019-02-14,0.003162183081835651
2019-02-15,0.004213152625399599
2019-02-18,0.0034478968123547145
2019-02-19,0.004453778900738894
2019-02-20,0.0040662194881199275
2019-02-21,0.004209992674131436
2019-02-22,0.003439409580701987
2019-02-25,-0.00010824789103807645
2019-02-26,-0.00018045980591396737
2019-02-27,-0.0009257093556566702
2019-02-28,-0.0001740518932601126
2019-03-01,-0.0019335044924991937
2019-03-04,-0.0008194295546644529
2019-03-05,0.00037976964099448076
2019-03-06,0.0003226928981551695
2019-03-07,0.0015063955154958496
2019-03-08,0.004486922118245254
2019-03-11,0.0045323414760356446
2019-03-12,0.003731570267581774
2019-03-13,0.003652754862566222
2019-03-14,0.003325448211099947
2019-03-15,0.0031186515389976573
2019-03-18,0.0026893818122739484
2019-03-19,0.005157805264582889
2019-03-20,0.005087943231517833
2019-03-21,0.004880249372968682
2019-03-22,0.005265323407999463
2019-03-25,0.005070914095056984
2019-03-26,0.005095916517260225
2019-03-27,0.004691783820092296
2019-03-28,0.004427274743483345
2019-03-29,0.002341764895519994
2019-04-01,0.0023050371937327397
2019-04-02,0.0023078178143169144
2019-04-03,0.0005011080717986878
2019-04-04,-0.0005682406013514529
2019-04-08,-0.0017693415204176445
2019-04-09,-0.002049609833457479
2019-04-10,-0.0007596655848901036
2019-04-11,-0.0011203727369208565
2019-04-12,-0.0014301504444744753
2019-04-15,-0.0010819492477206708
2019-04-16,-0.003120377367512485
2019-04-17,-0.0034777030628075686
2019-04-18,-0.0026268974871117273
2019-04-19,-0.002685322460627391
2019-04-22,-0.0011887508152651069
2019-04-23,-0.001394564967542203
2019-04-24,-0.001160801420861127
2019-04-25,-0.0005150463871377867
2019-04-26,0.0005174736232557324
2019-04-29,-0.0006726319004593682
2019-04-30,-0.0007311673084226226
2019-05-06,0.0005444459928250985
2019-05-07,0.0010969796769454187
2019-05-08,0.002098436316820977
2019-05-09,0.003141853529196528
2019-05-10,0.0019884523123401133
2019-05-13,0.0034154646368739893
2019-05-14,0.0042100127811727115
2019-05-15,0.003230653403093366
2019-05-16,0.002964657297191359
2019-05-17,0.003442808964289596
2019-05-20,0.0033593055985286896
2019-05-21,0.00324114481024679
2019-05-22,0.003826609937035543
2019-05-23,0.005103759475020249
2019-05-24,0.004388841773313645
2019-05-27,0.0045622224100441856
2019-05-28,0.0032383749812471344
2019-05-29,0.003461674518141566
2019-05-30,0.0038467033389554153
2019-05-31,0.0038385861998836445
2019-06-03,0.003998811124286266
2019-06-04,0.0039584011031370235
2019-06-05,0.003674428212523069
2019-06-06,0.003759111692284253
2019-06-10,0.003010895327382916
2019-06-11,0.0015084542833405704
2019-06-12,0.0015237395451073333
2019-06-13,0.0014742730420111358
2019-06-14,0.0016969980398916335
2019-06-17,0.002055637631926996
2019-06-18,0.001722436967987769
2019-06-19,0.0011898666733496778
2019-06-20,-0.00018882911422878307
2019-06-21,0.00012089743965182674
2019-06-24,0.0005216221639056604
2019-06-25,0.0014705986963958646
2019-06-26,0.0017695817881376314
2019-06-27,0.0015239125584018732
2019-06-28,0.002319436459987066
2019-07-01,0.0017115842145501291
2019-07-02,0.0015901264503047378
2019-07-03,0.001882020512561692
2019-07-04,0.0015582614466614804
2019-07-05,0.0012270304846463815
2019-07-08,0.0015427962571598968
2019-07-09,0.000698061537699798
2019-07-10,0.0002562467445987128
2019-07-11,-0.0001095479745396163
2019-07-12,3.789051283695317e-06
2019-07-15,0.00021011858064836025
2019-07-16,0.0007848323117444962
2019-07-17,0.0006391600191410689
2019-07-18,0.0007193108168480186
2019-07-19,0.00014807294596651791
2019-07-22,-6.210894035955807e-05
2019-07-23,-7.709050759544271e-05
2019-07-24,-0.0005188460384640607
2019-07-25,-0.0011747703769537064
2019-07-26,-0.001335788940255438
2019-07-29,-0.0007930406047508819
2019-07-30,-0.0017583765948286088
2019-07-31,-0.0011082239577903093
2019-08-01,-0.0010302022799179881
2019-08-02,-0.0006136607075593438
2019-08-05,0.0004215586100995905
2019-08-06,0.0012467089574232284
2019-08-07,0.0014606316436369233
2019-08-08,0.001577808714124182
2019-08-09,0.0020503686432544847
2019-08-12,0.0018282581950438647
2019-08-13,0.00214825605894736
2019-08-14,0.0019548254030047688
2019-08-15,0.002418992036016053
2019-08-16,0.002857965267475021
2019-08-19,0.0024946057465887036
2019-08-20,0.002056448714093893
2019-08-21,0.0021587051715957757
2019-08-22,0.0024178125812741877
2019-08-23,0.0021708822162800666
2019-08-26,0.0024542200613489294
2019-08-27,0.0021126851651868317
2019-08-28,0.0025447881918645534
2019-08-29,0.003494932002714991
2019-08-30,0.0034129049439778707
2019-09-02,0.002705064460286331
2019-09-03,0.003289595887954705
2019-09-04,0.0029143015733422467
